3.1263,-1.3018,1.2165,-1.4855,-1.5708,1.5555
3.1263,-1.3019,1.2166,-1.4855,-1.5708,1.5555
3.1263,-1.3019,1.2166,-1.4855,-1.5708,1.5555
3.1262,-1.3023,1.217,-1.4855,-1.571,1.5554
3.1258,-1.3031,1.2178,-1.4856,-1.5713,1.555
3.1251,-1.3047,1.2196,-1.4857,-1.572,1.5543
3.1239,-1.3076,1.2226,-1.4859,-1.5732,1.5531
3.122,-1.3121,1.2274,-1.4862,-1.5751,1.5512
3.1192,-1.3187,1.2343,-1.4866,-1.5778,1.5484
3.1153,-1.3278,1.2438,-1.4871,-1.5817,1.5445
3.11,-1.3399,1.2563,-1.4877,-1.5867,1.5392
3.1032,-1.3552,1.2719,-1.4884,-1.5932,1.5323
3.0944,-1.3743,1.2911,-1.4891,-1.6014,1.5235
3.0833,-1.3972,1.3137,-1.4897,-1.6112,1.5125
3.0697,-1.4244,1.3399,-1.4901,-1.623,1.4988
3.0531,-1.4558,1.3695,-1.4903,-1.6368,1.4821
3.033,-1.4917,1.4021,-1.4902,-1.6527,1.4618
3.0089,-1.5318,1.4372,-1.4896,-1.6707,1.4374
2.9801,-1.5761,1.4743,-1.4887,-1.6907,1.4081
2.9459,-1.6242,1.5127,-1.4876,-1.7126,1.3731
2.9056,-1.6757,1.5516,-1.4868,-1.7361,1.3315
2.8582,-1.73,1.5899,-1.4868,-1.7608,1.282
2.8028,-1.7861,1.6269,-1.4886,-1.7859,1.2237
2.7387,-1.8432,1.6616,-1.4936,-1.8103,1.1553
2.6651,-1.8997,1.6932,-1.5031,-1.8327,1.076
2.582,-1.9543,1.7207,-1.5186,-1.8512,0.98549
2.4898,-2.0053,1.7434,-1.541,-1.8637,0.88458
2.3902,-2.0511,1.7603,-1.5703,-1.8682,0.77565
2.2864,-2.0905,1.7707,-1.6049,-1.8634,0.66288
2.1825,-2.1226,1.7737,-1.6419,-1.8494,0.55196
2.0841,-2.1473,1.7685,-1.6778,-1.8282,0.44921
1.9971,-2.1654,1.7547,-1.7091,-1.8035,0.3605
1.9275,-2.1779,1.7319,-1.7333,-1.7806,0.29059
1.8803,-2.1854,1.7,-1.7491,-1.7653,0.24228
1.8555,-2.1886,1.6597,-1.7578,-1.7606,0.21354
1.8513,-2.1873,1.612,-1.761,-1.7678,0.20097
1.8654,-2.1809,1.5578,-1.7602,-1.7876,0.201
1.8943,-2.1691,1.498,-1.7567,-1.819,0.20963
1.9326,-2.1522,1.434,-1.7519,-1.8589,0.22207
1.9725,-2.1313,1.3673,-1.747,-1.9013,0.23259
2.0033,-2.1083,1.2999,-1.7445,-1.9374,0.2349
2.0131,-2.0856,1.2338,-1.7468,-1.956,0.22303
1.9895,-2.0654,1.1709,-1.7552,-1.9446,0.19319
1.9258,-2.0487,1.1107,-1.7668,-1.8949,0.14757
1.8146,-2.0362,1.0523,-1.7758,-1.7976,0.090081
1.6369,-2.0299,0.99419,-1.7725,-1.6333,0.021612
1.2088,-2.0549,0.92808,-1.6999,-1.2252,-0.10992
1.1368,-2.0221,0.86761,-1.701,-1.1551,-0.11895
1.047,-1.9902,0.80772,-1.6971,-1.0666,-0.12995
0.9418,-1.9592,0.74839,-1.6876,-0.96193,-0.14214
0.82524,-1.9293,0.68971,-1.6724,-0.84501,-0.15503
0.70323,-1.9003,0.63173,-1.6516,-0.72174,-0.16833
0.58272,-1.8723,0.57447,-1.6254,-0.59929,-0.18184
0.47036,-1.8452,0.51785,-1.5947,-0.4846,-0.19534
0.37097,-1.8187,0.46173,-1.5607,-0.3828,-0.20852
0.28675,-1.7925,0.4059,-1.5244,-0.2963,-0.221
0.21763,-1.7665,0.35008,-1.487,-0.22516,-0.23247
0.16219,-1.7403,0.29381,-1.4491,-0.16799,-0.2427
0.11849,-1.7133,0.23611,-1.411,-0.12286,-0.25155
0.084572,-1.6845,0.17458,-1.3718,-0.087764,-0.259
0.058664,-1.6495,0.1005,-1.3271,-0.060924,-0.26507
0.042751,-1.5989,-5.9426e-08,-1.2939,-0.044176,-0.24855
0.034348,-1.5928,-1.4826e-08,-1.347,-0.035096,-0.20164
0.026715,-1.5875,-1.8651e-08,-1.3957,-0.027072,-0.15832
0.019924,-1.583,-3.6936e-07,-1.4394,-0.020075,-0.11914
0.01404,-1.5793,-3.1524e-08,-1.4776,-0.014093,-0.084659
0.0091164,-1.5762,-2.859e-06,-1.51,-0.0091312,-0.055381
0.0054973,-1.5697,-0.0081019,-1.5337,-0.0054999,-0.030033
0.0023479,-1.5724,0.00038901,-1.5552,-0.0023482,-0.014417
0.00058258,-1.5692,-0.0039158,-1.5655,-0.00058259,-0.0029482
0.0005825,-1.5692,-0.0039156,-1.5655,-0.00058244,-0.0029489
